"callerId","noCallsMade","langId","n.x","con_play","con_replay","adjusted_con","ratio","noContentListened","caller_lifetime","day","month","year","last_day","last_month","last_year","n.y"
8690,7110,1,2141,112,10,102,0.0143459915611814,424,5.75,23,6,2014.5,25,3,2020.25,2141
10211,107,1,41,6,3,3,0.0280373831775701,135,5,3,7,2014.58333333333,15,7,2019.58333333333,41
13512,127,1,58,3,0,3,0.0236220472440945,169,5.66666666666674,6,7,2014.58333333333,19,3,2020.25,58
14706,47,1,52,5,1,4,0.0851063829787234,70,5.16666666666674,8,7,2014.58333333333,7,9,2019.75,52
16066,120,1,82,4,1,3,0.025,85,5.58333333333348,9,7,2014.58333333333,14,2,2020.16666666667,82
20383,136,2,96,8,3,5,0.0367647058823529,172,5.5,11,7,2014.58333333333,9,1,2020.08333333333,96
20507,84,2,90,4,1,3,0.0357142857142857,54,5.66666666666674,11,7,2014.58333333333,25,3,2020.25,90
20562,57,1,39,4,0,4,0.0701754385964912,51,5.33333333333348,11,7,2014.58333333333,20,11,2019.91666666667,39
21948,77,5,321,42,9,33,0.428571428571429,110,5.66666666666674,12,7,2014.58333333333,6,3,2020.25,321
24688,220,1,55,7,1,6,0.0272727272727273,230,5.16666666666674,14,7,2014.58333333333,26,9,2019.75,55
25061,34,1,12,1,0,1,0.0294117647058824,67,4.75,15,7,2014.58333333333,15,4,2019.33333333333,12
27934,59,2,215,29,6,23,0.389830508474576,78,5.66666666666674,17,7,2014.58333333333,27,3,2020.25,215
30487,74,2,30,0,0,0,0,71,4.5,21,7,2014.58333333333,14,1,2019.08333333333,30
30822,215,1,89,9,0,9,0.0418604651162791,285,5.33333333333348,21,7,2014.58333333333,16,11,2019.91666666667,89
33341,79,2,17,2,0,2,0.0253164556962025,65,4.91666666666674,24,7,2014.58333333333,13,6,2019.5,17
37565,143,1,19,0,0,0,0,223,4.83333333333348,26,7,2014.58333333333,28,5,2019.41666666667,19
42923,70,2,35,3,0,3,0.0428571428571429,78,5.66666666666674,30,7,2014.58333333333,3,3,2020.25,35
44162,87,2,31,2,0,2,0.0229885057471264,91,5.66666666666674,30,7,2014.58333333333,11,3,2020.25,31
45362,29,1,173,13,0,13,0.448275862068966,72,5.66666666666674,31,7,2014.58333333333,3,3,2020.25,173
47522,901,2,3834,27,5,22,0.0244173140954495,72,5.58333333333326,1,8,2014.66666666667,18,3,2020.25,3834
47934,75,2,88,7,1,6,0.08,58,4.75,1,8,2014.66666666667,15,5,2019.41666666667,88
48202,62,2,43,4,0,4,0.0645161290322581,65,5.58333333333326,1,8,2014.66666666667,1,3,2020.25,43
49115,211,1,285,15,1,14,0.0663507109004739,283,5.33333333333326,2,8,2014.66666666667,7,12,2020,285
