callId,noCallsMade,noContentListened,caller_lifetime,day,month,year,last_day,last_month,last_year,n.x,con_play,con_replay,adjusted_con,callerId,langId,n.y,content,call_time
0000ff93-9cd5-4b9a-bba1-eef70fcbd74b,14,75,1,1,8,2019.666667,26,8,2020.666667,7,0,0,0,4466827,1,7,0,47
00076a1a-760b-46b8-baf9-bf5752096ef3,45,52,3.583333333,28,7,2016.583333,10,2,2020.166667,30,6,2,4,1445874,2,30,1,436
000ebd4c-80ca-4251-b99a-a9c88d627f47,14,60,0.666666667,3,12,2020,10,8,2020.666667,8,1,0,1,4743859,2,8,1,83
0010440f-f3e3-4c1a-aa6a-b2ffeff505e3,49,105,3.833333333,30,10,2016.833333,26,8,2020.666667,10,0,0,0,1825731,1,10,0,67
0015dc69-4442-48e1-8208-d31acb2ab398,62,76,3.333333333,30,6,2017.5,13,10,2020.833333,14,2,0,2,2566796,1,14,1,149
001aae23-c759-459a-9ae0-252f9d80fc39,49,56,1.833333333,28,6,2018.5,20,4,2020.333333,7,0,0,0,3634276,1,7,0,16
001b9be2-caa7-46c0-be1d-3d79716e16c9,289,165,6,24,9,2014.75,17,9,2020.75,10,1,0,1,368004,1,10,1,60
001d34a5-53a8-4331-95d5-bda5554d4d81,199,84,0.166666667,25,12,2020,15,2,2020.166667,16,0,0,0,4784091,5,16,0,158
00295f98-fcb5-43a8-8af2-f8a34711b267,95,72,2.833333333,7,7,2017.583333,15,5,2020.416667,11,1,0,1,2594656,5,11,1,196
002ca3ee-3dc2-47f1-ba91-807efae830a3,150,148,6.083333333,28,8,2014.666667,18,9,2020.75,3,0,0,0,218661,1,3,0,10
0036510b-d09d-42be-92b7-7e8b71afbb6d,86,99,2.916666667,29,6,2017.5,5,5,2020.416667,10,2,1,1,2558897,2,10,1,166
003eff2b-1f63-49ee-a8e0-08e85bc822a8,154,67,3.833333333,2,4,2016.333333,21,2,2020.166667,3,0,0,0,1337605,2,3,0,9
004280fb-c4e2-4809-9ff2-59defd55df3c,7110,424,6.166666667,23,6,2014.5,14,8,2020.666667,5,0,0,0,8690,1,5,0,11
004a73b6-0bd9-4aff-9be6-55c47bd087e1,149,55,1.916666667,24,7,2018.583333,9,6,2020.5,7,0,0,0,3665817,5,7,0,109
004aa161-3325-42ab-a278-f6387bd72d54,25,82,4.25,11,5,2016.416667,26,8,2020.666667,9,0,0,0,1375532,1,9,0,49
004aeeb9-ce21-4901-b753-03ac2377ee97,228,135,4.75,1,12,2016,8,9,2020.75,9,1,0,1,1246968,3,9,1,122
004af007-1d22-4ed4-97ae-8c2c76d16c05,90,78,2.583333333,23,8,2017.666667,9,3,2020.25,2,0,0,0,2814993,2,2,0,7
004c5fcd-4fc2-45b5-8e88-0f6909a86a5f,133,126,5.583333333,26,3,2015.25,3,10,2020.833333,2,0,0,0,775386,1,2,0,2
0051c199-e36f-4604-8e95-075d5dc3755a,68,60,2.333333333,13,4,2018.333333,22,8,2020.666667,4,0,0,0,3518158,5,4,0,10
0054f8a8-a6f9-45c8-b1e7-f0c5b6ed899b,56,58,1.833333333,3,4,2018.333333,11,2,2020.166667,24,0,0,0,3490078,5,24,0,320
0056507b-c758-4824-82b1-f60c10744c99,87,101,5.916666667,21,10,2014.833333,20,9,2020.75,19,3,0,3,469348,2,19,1,313
005bb898-049e-4040-b4a0-4c59527dfddc,54,134,0.166666667,17,12,2020,14,2,2020.166667,61,7,2,5,4769791,1,61,1,773
005d6be6-2a1f-4836-a746-64d90cd57c72,52,51,2.666666667,19,7,2017.583333,6,3,2020.25,10,1,0,1,2660526,1,10,1,330
00671a60-e209-4ff7-9366-ae337bbb44a0,110,111,2.666666667,9,5,2017.416667,4,1,2020.083333,12,2,1,1,2318891,2,12,1,180
0068cd56-27bf-4639-a0a1-9085cf91518b,50,55,4,26,8,2016.666667,27,8,2020.666667,16,2,0,2,1552142,1,16,1,168
006de38a-0791-4764-a155-9e6deebb8a89,62,76,5.166666667,27,5,2015.416667,8,7,2020.583333,28,4,1,3,979792,1,28,1,370
006eeaf8-9ddb-4e5a-b259-83aa1b642a26,181,223,5.25,6,11,2014.916667,4,2,2020.166667,34,6,2,4,500541,2,34,1,586
007407c0-6818-4eb5-bed9-dc60ab14c076,67,70,3.25,15,5,2017.416667,26,8,2020.666667,13,1,0,1,2351199,2,13,1,253
00745416-4fe4-47c9-b6c5-74c8028aa556,598,1001,5.75,6,8,2014.666667,15,5,2020.416667,34,7,3,4,57496,1,34,1,537
00747ea6-81e7-402b-a6e8-9596e408082e,14,60,0.416666667,3,12,2020,29,5,2020.416667,8,1,0,1,4743859,2,8,1,170
007926da-027a-4fb8-8673-938ffc4c1a62,45,54,5.333333333,24,9,2014.75,28,1,2020.083333,19,3,1,2,367715,1,19,1,242
